значение;пример
3;Плотные листы ватмана заполнены неумелыми, почти детскими рисунками ? художников в лаборатории нет, ? испещрены краткими, острыми шутками.
3;Все искусство театра его имени в эти годы было насыщено яркими красками, музыкой, острой шуткой, тонким юмором, остроумными выдумками режиссера.
3; она была буквально неистощима на острое слово, на шутки, подчас очень нескромные.
3;Но ты знаешь, что сам себя должен ободрить, и делаешь это веселою острой шуткой.
3;В ту зиму Булгаков писал свои острые рассказы, где насмешка и гротеск достигали разящей силы.
3;Из его деревянной рожи, распустившейся в острую насмешку, узятся презрительные старичьи глаза.
3;На двух телегах тесной грудой уселись казаки-рыбаки, все молодежь, веселая, шумная, наклонная к крепкой и острой шутке.
3;Комиссар дивизии Свирин, человек с громкой складной речью, богатой острыми, весёлыми словами, перед началом доклада сказал:
3;Тысячи выражений срывались с этого прекрасного лица точно так же, как с его губ срывались тысячи то весёлых, то острых, то печальных слов. 
3;Попадаются им иногда богатые пассажиры, которые платят за скорость, за раздавленных собак, за острое слово, за поднесенную спичку.
3;Оба замечательных физика были людьми нечопорными, знали толк в остром слове и наверняка помнили классический анекдот, на который намекает заглавие.
3;Найдут ли место в дневнике острые мысли, слова, анекдоты.
3;Троцкий сделал ряд острых критических замечаний насчет того, что Зиновьев и Коминтерн все проглядели и занялись всем слишком поздно
3;Вся работа полна острых мыслей, метких замечаний и советов
3;"Он узнал об изменах, об острых ответах королей, о римских полководцах, о славных женщинах, которые умели прятать любовников; перелистал словарь римских куртизанок; более всех ему понравилась ловкая Лаиса, подруга жирного Аристиппа; прочел о людях, которые, умирая на плахе, делали острые замечания"
3;Острыми высказываниями, своеобразным (нередко черным) юмором он по сей день озадачивает одних и навсегда влюбляет в себя других.
3;Впрочем, Игорь Николаевич своего зама любил, работником тот был отменным и другом преданным, уже много лет они знакомы и близки, а то, что Жорик порой позволяет себе нелицеприятные замечания и острые высказывания, так на то он и друг. 
3;Вызывая очередного смертника на откровенность, Фаергоф позволял себе такие острые высказывания о правителях империи, за которые любого другого повесили бы без промедления. 
3;В свободное время рядом с веселой шуткой и острым словом мы любим звонкую песню, веселый танец! 
3;С его чувством острого слова, с его умением слышать оттенки речи он был просто кладом для приезжей ученой дамы. 
